"Chamber Name","Chamber URL","Address","Phone Number"
"Springdale & Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/springdale-area-chamber-of-commerce-springdale-29","PO Box 37 Springdale NF A0J 1T0","+17096733837"
"Sheet Harbour and Area Chamber of Commerce & Civic Affairs","https://www.atlanticchamber.ca/list/member/sheet-harbour-and-area-chamber-of-commerce-civic-affairs-95","PO Box 239 Sheet Harbour NS B0J 3B0","+19028852645"
"Saint John Region Chamber of Commerce","https://www.atlanticchamber.ca/list/member/saint-john-region-chamber-of-commerce-70","78 Prince William Street Saint John NB E2L 1G3","+15066344157"
"Weymouth Board of Trade","https://www.atlanticchamber.ca/list/member/weymouth-board-of-trade-weymouth-104","5108 Main Street Weymouth NS B0W 3T0","+19028374498"
"Eastern Prince Edward Island Chamber of Commerce","https://www.atlanticchamber.ca/list/member/eastern-prince-edward-island-chamber-of-commerce-2","540 Main Street Montague PE C0A 1R0","+19028383131"
"Halifax Chamber of Commerce","https://www.atlanticchamber.ca/list/member/halifax-chamber-of-commerce-dartmouth-87","32 Akerley Blvd Suite 100 Dartmouth NS B3B 1N1","+19024811231"
"Chambre de Commerce du Grand Caraquet","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-du-grand-caraquet-46","1-39 Boul. St. Pierre Ouest Caraquet NB E1W 1B6","+15067272931"
"Chambre de commerce de Saint-Quentin Inc.","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-de-saint-quentin-inc-45","144D rue Canada Saint-Quentin NB E8A 1G7","+15062353666"
"Oromocto & Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/oromocto-area-chamber-of-commerce-68","PO Box 20124 Oromocto NB E2Z 2R6","+15064466043"
"Guysborough & Area Board of Trade","https://www.atlanticchamber.ca/list/member/guysborough-area-board-of-trade-guysborough-86","PO Box 20 Guysborough NS B0H 1N0","+19025252108"
"South Shore Chamber of Commerce","https://www.atlanticchamber.ca/list/member/south-shore-chamber-of-commerce-6","PO Box 127 Crapaud PE C0A 1J0","+19024372510"
"Irish Loop Chamber of Commerce","https://www.atlanticchamber.ca/list/member/irish-loop-chamber-of-commerce-20","PO Box 114 Trepassey NF A0A 4B0","+17094381189"
"Chambre de Commerce des îles Lamèque et Miscou","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-des-isles-lamèque-et-miscou-41","CP 2075 Lamèque NB E8T 3N5","+15063400490"
"Baie Verte Peninsula Chamber of Commerce","https://www.atlanticchamber.ca/list/member/baie-verte-peninsula-chamber-of-commerce-10","319 Highway 410 Baie Verte NF A0K 1B0","+17095324204"
"Strait Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/strait-area-chamber-of-commerce-99","609 Church Street Suite 101 Port Hawkesbury NS B9A 2X4","+19026251588"
"Avon Chamber of Commerce","https://www.atlanticchamber.ca/list/member/avon-chamber-of-commerce-103","PO Box 2188 Windsor NS B0N 2T0","+19027883413"
"North Queens Board of Trade","https://www.atlanticchamber.ca/list/member/north-queens-board-of-trade-caledonia-90","PO Box 189 Caledonia NS B0T 1B0","+19026822190"
"Chambre de commerce Haut Madawaska","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-haut-madawaska-44","809 rue Principale Suite S Clair NB E7A 2H7","+15069926067"
"Annapolis Board of Trade","https://www.atlanticchamber.ca/list/member/annapolis-board-of-trade-annapolis-royal-219","PO Box 2 Annapolis Royal NS B0S 1A0","+19025260944"
"Labrador West Chamber of Commerce","https://www.atlanticchamber.ca/list/member/labrador-west-chamber-of-commerce-24","Gateway Labrador Building 1365 Route 500 Labrador City NL A2V 2E6","+17099443723"
"Kensington and Area Chamber Of Commerce","https://www.atlanticchamber.ca/list/member/kensington-and-area-chamber-of-commerce-5","55 Victoria St Suite 16 PO Box 234 Kensington PE C0B1M0","+19028363209"
"Conception Bay Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/conception-bay-area-chamber-of-commerce-15","PO Box 16115 Conception Bay South NL A1X 2E2","+17098345670"
"Pictou County Chamber of Commerce","https://www.atlanticchamber.ca/list/member/pictou-county-chamber-of-commerce-92","465 Westville Rd New Glasgow NS B2H4M5","+19027553463"
"The Chamber of Commerce for Greater Moncton","https://www.atlanticchamber.ca/list/member/the-chamber-of-commerce-for-greater-moncton-59","1273 Main Street, Suite 200 Moncton NB E1C 0P4","+15068572883"
"St. Martins & District Chamber of Commerce","https://www.atlanticchamber.ca/list/member/st-martins-district-chamber-of-commerce-72","PO Box 123 St. Martins NB E5R 2H1",""
"Bonavista Trinity Regional Chamber of Commerce","https://www.atlanticchamber.ca/list/member/bonavista-trinity-regional-chamber-of-commerce-12","PO Box 280 Bonavista NF A0C 1B0","+17094687747"
"Chambre de commerce de Kent Centre","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-de-kent-centre-richibouctou-38","9235 rue Main Street, Unité 1 Richibouctou NB E4W 4B4","+15065237870"
"Chambre de commerce du Grand Tracadie-Sheila, Inc.","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-du-grand-tracadie-sheila-inc-47","C.P. 3384 Succ.Head Office Tracadie-Sheila NB E1X 1G5","+15063944028"
"West Prince Chamber of Commerce","https://www.atlanticchamber.ca/list/member/west-prince-chamber-of-commerce-7","18 Gard Road Alberton PE C0B 1B0","+19027265646"
"Port-aux-Basques & Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/port-aux-basques-area-chamber-of-commerce-port-aux-basques-28","PO Box 1389 Port-aux-Basques NF A0M 1C0","+17096953688"
"Greater Summerside Chamber of Commerce","https://www.atlanticchamber.ca/list/member/greater-summerside-chamber-of-commerce-4","263 Harbour Drive Suite 10 Summerside PE C1N 5P1","+19024369651"
"Hampton Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/hampton-area-chamber-of-commerce-63","17 Centennial Road, Unit 3 Hampton NB E5N 6N3","+15068322559"
"Clarenville Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/clarenville-area-chamber-of-commerce-14","263 Memorial Drive Suite 203 Clarenville NF A5A 1R5","+17094665800"
"Springhill and Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/springhill-and-area-chamber-of-commerce-98","PO Box 1030 Springhill NS B0M 1X0","+19025978614"
"Burin Peninsula Chamber of Commerce","https://www.atlanticchamber.ca/list/member/burin-peninsula-chamber-of-commerce-13","PO Box 728 Marystown NF A0E 2M0","+17093572510"
"Bay St. George Chamber of Commerce","https://www.atlanticchamber.ca/list/member/bay-st-george-chamber-of-commerce-11","35 Carolina Avenue Stephenville NF A2N 3P8","+17096435854"
"Portugal Cove-St. Philip's Chamber of Commerce","https://www.atlanticchamber.ca/list/member/portugal-cove-st-philip-s-chamber-of-commerce-255","PO Box 644 STN Main Portugal Cove-St. Phillips NL A1M 1A0","+17097713100"
"Antigonish Chamber of Commerce","https://www.atlanticchamber.ca/list/member/antigonish-chamber-of-commerce-78","283 Main St Room 124 Antigonish Nova Scotia B2G 2C3","+19028636308"
"Central & Northern Carleton Chamber of Commerce","https://www.atlanticchamber.ca/list/member/central-northern-carleton-chamber-of-commerce-54","8696 Main Street Florenceville-Bristol NB E7L 1Y7","+15063920900"
"Chambre de commerce de Memramcook","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-de-memramcook-245","Memramcook NB","+15067589315"
"Musquodoboit Harbour Chamber of Commerce","https://www.atlanticchamber.ca/list/member/musquodoboit-harbour-chamber-of-commerce-236","Musquodoboit Harbour NS E3B 4Y9",""
"Cape Breton Regional Chamber of Commerce","https://www.atlanticchamber.ca/list/member/cape-breton-regional-chamber-of-commerce-100","50 Dorchester St Sydney NS B1P5Z1","+19025646453"
"Campbellton Regional Chamber of Commerce","https://www.atlanticchamber.ca/list/member/campbellton-regional-chamber-of-commerce-49","64 rue Water Street Campbellton NB E3N 1B1","+15067597856"
"St. Andrews Chamber of Commerce","https://www.atlanticchamber.ca/list/member/st-andrews-chamber-of-commerce-71","24 Reed Avenue, Suite #5, Saint Andrews, NB, E3B 1A1 St. Andrews NB E5B-1A1","+15065293555"
"Fredericton Chamber of Commerce","https://www.atlanticchamber.ca/list/member/fredericton-chamber-of-commerce-55","364 York Street Suite 200 Fredericton NB E3B 3P7","+15064588006"
"Chambre de commerce de Clare","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-de-clare-82","PO Box 35 Church Point NS B0W 1M0",""
"Greater Miramichi Chamber of Commerce","https://www.atlanticchamber.ca/list/member/greater-miramichi-chamber-of-commerce-67","122 Newcastle Blvd. Miramichi NB E1N 3A7","+15066225522"
"Chambre de commerce de Kent Sud","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-de-kent-sud-39","PO Box 2104 Bouctouche NB E4S 2J2","+15068611454"
"Albert County Chamber of Commerce","https://www.atlanticchamber.ca/list/member/albert-county-chamber-of-commerce-32","PO Box 3051 Hillsborough NB E4H 4W5","+15063823380"
"Bridgetown & Area Chamber of Commerce Society","https://www.atlanticchamber.ca/list/member/bridgetown-area-chamber-of-commerce-society-80","264 Granville Street Bridgetown NS B0S 1C0","+18663614366"
"Bridgewater & Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/bridgewater-area-chamber-of-commerce-81","PO Box 373 Station Main Bridgewater NS B4V 2W9","+19025434263"
"Centreville Chamber of Commerce","https://www.atlanticchamber.ca/list/member/centreville-chamber-of-commerce-centreville-34","836 Central Street Centreville NB E7K 2E7","+15062763674"
"Placentia Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/placentia-area-chamber-of-commerce-8","61 Blockhouse Road Placentia Mall Placentia NF A0B 2Y0","+17092270003"
"East Hants & Districts Chamber of Commerce","https://www.atlanticchamber.ca/list/member/east-hants-districts-chamber-of-commerce-enfield-85","8 Old Enfield Road Unit 205 Enfield NS B2T 1C9","+19028831010"
"St. Anthony and Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/st-anthony-and-area-chamber-of-commerce-30","PO Box 650 St. Anthony NF A0K 4S0","+17094545147"
"Greater Corner Brook Board of Trade","https://www.atlanticchamber.ca/list/member/greater-corner-brook-board-of-trade-corner-brook-19","11 Confederation Drive Corner Brook NF A2H 6E6","+17096345831"
"Annapolis Valley Chamber of Commerce","https://www.atlanticchamber.ca/list/member/annapolis-valley-chamber-of-commerce-77","448 Main Street Kentville NS B4N 1K8","+19026484634"
"Mount Pearl Paradise Chamber of Commerce","https://www.atlanticchamber.ca/list/member/mount-pearl-paradise-chamber-of-commerce-26","365 Old Placentia Road Mount Pearl NF A1N 0G7","+17093648513"
"Shelburne & Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/shelburne-area-chamber-of-commerce-96","PO Box 1150 Shelburne NS B0T 1W0","+19028756956"
"Greater Shediac Chamber of Commerce","https://www.atlanticchamber.ca/list/member/greater-shediac-chamber-of-commerce-shediac-61","290 rue Main Street, Unit 302 Shediac NB E4P 2E3","+15065327000"
"Cumberland Chamber of Commerce","https://www.atlanticchamber.ca/list/member/cumberland-chamber-of-commerce-76","210 - 5 Ratchford Street Amherst NS B4H 1X2","+19026678186"
"St. Stephen Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/st-stephen-area-chamber-of-commerce-73","123 Milltown Blvd, suite 104 PO box 131 St. Stephen NB E3L 2X1","+15064667703"
"Valley Chamber of Commerce","https://www.atlanticchamber.ca/list/member/valley-chamber-of-commerce-57","272 Portage Road Grand Falls NB E3Z 1M6","+15064731905"
"Gander & Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/gander-area-chamber-of-commerce-18","109 Trans Canada Highway Gander NF A1V 1P6","+17092567110"
"Exploits Regional Chamber of Commerce","https://www.atlanticchamber.ca/list/member/exploits-regional-chamber-of-commerce-grand-falls-windsor-17","2B Mill Road Grand Falls-Windsor NF A2A 2J7","+17094897512"
"Chambre de commerce de la région d'Edmundston","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-de-la-région-d-edmundston-40","1, Canada Road Edmundston NB E3V 1T6","+15067371866"
"Labrador North Chamber of Commerce","https://www.atlanticchamber.ca/list/member/labrador-north-chamber-of-commerce-21","6 Hillcrest Road Happy Valley-Goose Bay NF A0P 1E0","+17098968787"
"Board of Trade","https://www.atlanticchamber.ca/list/member/board-of-trade-31","34 Harvey Road 3rd Floor St. John's NL A1C 2G1","+17097262961"
"Mactaquac Country Chamber of Commerce","https://www.atlanticchamber.ca/list/member/mactaquac-country-chamber-of-commerce-nackawic-65","PO Box 1163 Nackawic NB E6G 2N1","+15065759622"
"South Queens Chamber of Commerce","https://www.atlanticchamber.ca/list/member/south-queens-chamber-of-commerce-97","154 Main Street Liverpool NS B0T 1K0","+16478296059"
"Mahone Bay Tourism and Chamber of Commerce","https://www.atlanticchamber.ca/list/member/mahone-bay-tourism-and-chamber-of-commerce-89","PO Box 59 Mahone Bay NS B0J 2E0",""
"Eastern Charlotte Chamber of Commerce","https://www.atlanticchamber.ca/list/member/eastern-charlotte-chamber-of-commerce-53","21 Main Street, Unit 2 St. George NB E5C 3H9","+15067542977"
"Chambre de commerce de Shippagan Inc.","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-de-shippagan-inc-51","227, boulevard J.D. Gauthier Shippagan NB E8S 1N2","+15063363993"
"Chambre de Commerce Kent-Nord","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-kent-nord-43","83 Beauséjour, Unité A Saint Louis de Kent NB E4X 1A6","+15068763420"
"Chambre de commerce Cap-Acadie Chamber of Commerce","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-cap-acadie-chamber-of-commerce-35","1709 Route 133 Grand-Barachois NB E4P 8H8","+15065315375"
"Yarmouth & Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/yarmouth-area-chamber-of-commerce-105","368 Main Street Suite 108 Yarmouth NS B5A 4B4","+19027423074"
